na_item,Geopolitical entity (reporting),TIME_PERIOD,OBS_VALUE
B1GQ,Albania,1998,2330.5
B1GQ,Albania,1999,3086.0
B1GQ,Albania,2000,3893.5
B1GQ,Albania,2001,4539.0
B1GQ,Albania,2002,4789.5
B1GQ,Albania,2003,5095.7
B1GQ,Albania,2004,5956.3
B1GQ,Albania,2005,6639.8
B1GQ,Albania,2006,7293.6
B1GQ,Albania,2007,8131.4
B1GQ,Albania,2008,9058.0
B1GQ,Albania,2009,8871.8
B1GQ,Albania,2010,9117.0
B1GQ,Albania,2011,9328.0
B1GQ,Albania,2012,9528.7
B1GQ,Albania,2013,9641.0
B1GQ,Albania,2014,10020.0
B1GQ,Albania,2015,10339.2
B1GQ,Albania,2016,10835.1
B1GQ,Albania,2017,11770.8
B1GQ,Albania,2018,13016.9
B1GQ,Albania,2019,13917.9
B1GQ,Albania,2020,13379.5
B1GQ,Albania,2021,15243.1
B1GQ,Albania,2022,18068.1
B1GQ,Albania,2023,21730.5
B1GQ,Albania,2024,25000.7
B1GQ,Austria,1998,193947.0
B1GQ,Austria,1999,203064.9
B1GQ,Austria,2000,212406.8
B1GQ,Austria,2001,219373.3
B1GQ,Austria,2002,225087.9
B1GQ,Austria,2003,230541.9
B1GQ,Austria,2004,240541.7
B1GQ,Austria,2005,252354.9
B1GQ,Austria,2006,265933.7
B1GQ,Austria,2007,282208.2
B1GQ,Austria,2008,291846.2
B1GQ,Austria,2009,286274.1
B1GQ,Austria,2010,294050.6
B1GQ,Austria,2011,308167.0
B1GQ,Austria,2012,316589.4
B1GQ,Austria,2013,321191.7
B1GQ,Austria,2014,330113.5
B1GQ,Austria,2015,342083.5
B1GQ,Austria,2016,355665.6
B1GQ,Austria,2017,367294.9
B1GQ,Austria,2018,383234.3
B1GQ,Austria,2019,395706.8
B1GQ,Austria,2020,380317.9
B1GQ,Austria,2021,406231.5
B1GQ,Austria,2022,449382.2
B1GQ,Austria,2023,477837.3
B1GQ,Austria,2024,494087.6
B1GQ,Bosnia and Herzegovina,2000,6043.3
B1GQ,Bosnia and Herzegovina,2001,6482.2
B1GQ,Bosnia and Herzegovina,2002,7149.1
B1GQ,Bosnia and Herzegovina,2003,7530.3
B1GQ,Bosnia and Herzegovina,2004,8179.7
B1GQ,Bosnia and Herzegovina,2005,9024.5
B1GQ,Bosnia and Herzegovina,2006,10255.1
B1GQ,Bosnia and Herzegovina,2007,11528.5
B1GQ,Bosnia and Herzegovina,2008,13047.8
B1GQ,Bosnia and Herzegovina,2009,12679.3
B1GQ,Bosnia and Herzegovina,2010,12968.9
B1GQ,Bosnia and Herzegovina,2011,13411.8
B1GQ,Bosnia and Herzegovina,2012,13407.5
B1GQ,Bosnia and Herzegovina,2013,13691.8
B1GQ,Bosnia and Herzegovina,2014,13988.3
B1GQ,Bosnia and Herzegovina,2015,14791.1
B1GQ,Bosnia and Herzegovina,2016,15474.3
B1GQ,Bosnia and Herzegovina,2017,16260.5
B1GQ,Bosnia and Herzegovina,2018,17354.2
B1GQ,Bosnia and Herzegovina,2019,18296.5
B1GQ,Bosnia and Herzegovina,2020,17755.9
B1GQ,Bosnia and Herzegovina,2021,20014.7
B1GQ,Bosnia and Herzegovina,2022,23324.1
B1GQ,Bosnia and Herzegovina,2023,25523.8
B1GQ,Bosnia and Herzegovina,2024,26194.8
B1GQ,Belgium,1998,231015.7
B1GQ,Belgium,1999,242307.6
B1GQ,Belgium,2000,256376.4
B1GQ,Belgium,2001,264334.9
B1GQ,Belgium,2002,273255.9
B1GQ,Belgium,2003,281200.2
B1GQ,Belgium,2004,296819.7
B1GQ,Belgium,2005,310037.6
B1GQ,Belgium,2006,325151.5
B1GQ,Belgium,2007,343618.9
B1GQ,Belgium,2008,351743.1
B1GQ,Belgium,2009,347734.9
B1GQ,Belgium,2010,363242.4
B1GQ,Belgium,2011,378745.4
B1GQ,Belgium,2012,387934.9
B1GQ,Belgium,2013,394616.3
B1GQ,Belgium,2014,404958.3
B1GQ,Belgium,2015,415538.0
B1GQ,Belgium,2016,428467.1
B1GQ,Belgium,2017,443407.2
B1GQ,Belgium,2018,459491.8
B1GQ,Belgium,2019,479444.9
B1GQ,Belgium,2020,463750.9
B1GQ,Belgium,2021,506047.2
B1GQ,Belgium,2022,561309.1
B1GQ,Belgium,2023,602376.3
B1GQ,Belgium,2024,620271.8
B1GQ,Bulgaria,1998,13437.6
B1GQ,Bulgaria,1999,12804.4
B1GQ,Bulgaria,2000,14440.0
B1GQ,Bulgaria,2001,15905.3
B1GQ,Bulgaria,2002,17478.3
B1GQ,Bulgaria,2003,18798.3
B1GQ,Bulgaria,2004,21093.2
B1GQ,Bulgaria,2005,24039.9
B1GQ,Bulgaria,2006,27410.0
B1GQ,Bulgaria,2007,32464.7
B1GQ,Bulgaria,2008,37246.7
B1GQ,Bulgaria,2009,37417.7
B1GQ,Bulgaria,2010,38290.0
B1GQ,Bulgaria,2011,41479.9
B1GQ,Bulgaria,2012,42255.3
B1GQ,Bulgaria,2013,42056.2
B1GQ,Bulgaria,2014,43024.7
B1GQ,Bulgaria,2015,45797.8
B1GQ,Bulgaria,2016,48752.1
B1GQ,Bulgaria,2017,52501.8
B1GQ,Bulgaria,2018,56000.6
B1GQ,Bulgaria,2019,61195.4
B1GQ,Bulgaria,2020,61856.5
B1GQ,Bulgaria,2021,71345.0
B1GQ,Bulgaria,2022,86079.5
B1GQ,Bulgaria,2023,94526.6
B1GQ,Bulgaria,2024,104768.8
B1GQ,Switzerland,1998,271242.2
B1GQ,Switzerland,1999,279613.7
B1GQ,Switzerland,2000,302676.7
B1GQ,Switzerland,2001,320183.3
B1GQ,Switzerland,2002,328614.3
B1GQ,Switzerland,2003,320540.7
B1GQ,Switzerland,2004,325343.7
B1GQ,Switzerland,2005,336400.1
B1GQ,Switzerland,2006,352038.6
B1GQ,Switzerland,2007,358607.9
B1GQ,Switzerland,2008,387052.9
B1GQ,Switzerland,2009,399363.6
B1GQ,Switzerland,2010,452470.6
B1GQ,Switzerland,2011,515770.5
B1GQ,Switzerland,2012,534012.8
B1GQ,Switzerland,2013,531729.1
B1GQ,Switzerland,2014,548014.5
B1GQ,Switzerland,2015,625532.7
B1GQ,Switzerland,2016,621765.1
B1GQ,Switzerland,2017,615776.3
B1GQ,Switzerland,2018,614304.4
B1GQ,Switzerland,2019,644443.2
B1GQ,Switzerland,2020,650742.6
B1GQ,Switzerland,2021,689174.9
B1GQ,Switzerland,2022,787386.5
B1GQ,Switzerland,2023,826951.8
B1GQ,Switzerland,2024,865619.7
B1GQ,Cyprus,1998,9152.6
B1GQ,Cyprus,1999,9839.7
B1GQ,Cyprus,2000,10804.6
B1GQ,Cyprus,2001,11602.9
B1GQ,Cyprus,2002,12083.0
B1GQ,Cyprus,2003,12871.3
B1GQ,Cyprus,2004,13938.0
B1GQ,Cyprus,2005,15039.3
B1GQ,Cyprus,2006,16263.8
B1GQ,Cyprus,2007,17591.0
B1GQ,Cyprus,2008,19009.5
B1GQ,Cyprus,2009,18675.5
B1GQ,Cyprus,2010,19461.1
B1GQ,Cyprus,2011,19858.1
B1GQ,Cyprus,2012,19495.4
B1GQ,Cyprus,2013,18040.3
B1GQ,Cyprus,2014,17482.8
B1GQ,Cyprus,2015,17944.2
B1GQ,Cyprus,2016,19013.8
B1GQ,Cyprus,2017,20312.4
B1GQ,Cyprus,2018,21807.8
B1GQ,Cyprus,2019,23400.9
B1GQ,Cyprus,2020,22373.6
B1GQ,Cyprus,2021,25679.9
B1GQ,Cyprus,2022,29645.4
B1GQ,Cyprus,2023,32439.2
B1GQ,Cyprus,2024,34770.2
B1GQ,Czechia,1998,60164.9
B1GQ,Czechia,1999,61470.4
B1GQ,Czechia,2000,67409.2
B1GQ,Czechia,2001,76070.6
B1GQ,Czechia,2002,87795.9
B1GQ,Czechia,2003,88965.6
B1GQ,Czechia,2004,96822.8
B1GQ,Czechia,2005,110418.8
B1GQ,Czechia,2006,124559.0
B1GQ,Czechia,2007,138897.5
B1GQ,Czechia,2008,161852.2
B1GQ,Czechia,2009,149253.1
B1GQ,Czechia,2010,159506.1
B1GQ,Czechia,2011,166545.5
B1GQ,Czechia,2012,163759.4
B1GQ,Czechia,2013,160470.0
B1GQ,Czechia,2014,158991.5
B1GQ,Czechia,2015,170527.3
B1GQ,Czechia,2016,179145.9
B1GQ,Czechia,2017,196738.7
B1GQ,Czechia,2018,213505.4
B1GQ,Czechia,2019,229406.7
B1GQ,Czechia,2020,220310.6
B1GQ,Czechia,2021,246012.3
B1GQ,Czechia,2022,286976.8
B1GQ,Czechia,2023,319099.1
B1GQ,Czechia,2024,320741.7
B1GQ,Germany,1998,2008652.6
B1GQ,Germany,1999,2077240.0
B1GQ,Germany,2000,2129660.0
B1GQ,Germany,2001,2195530.0
B1GQ,Germany,2002,2223360.0
